cosecha_id,fecha,bloque_id,tallos,grado_calidad,largo_cm
1,2023-06-01,1,10253,B,70
2,2023-06-01,2,3616,B,45
3,2023-06-01,3,15915,B,60
4,2023-06-01,4,15290,B,45
5,2023-06-01,5,4987,A,67
6,2023-06-01,6,5630,B,47
7,2023-06-01,7,4706,C,61
8,2023-06-01,8,7374,B,61
9,2023-06-01,9,8324,A,59
10,2023-06-01,10,8738,A,59
11,2023-06-01,11,6593,A,70
12,2023-06-01,12,12081,B,63
13,2023-06-01,13,4898,A,58
14,2023-06-01,14,6671,B,48
15,2023-06-01,15,7365,B,40
16,2023-06-01,16,8524,A,82
17,2023-06-01,17,14136,B,56
18,2023-06-01,18,5551,B,64
19,2023-06-02,1,11359,C,68
20,2023-06-02,2,3801,A,56
21,2023-06-02,3,16323,A,43
22,2023-06-02,4,14693,B,65
23,2023-06-02,6,5272,B,46
24,2023-06-02,7,4666,C,61
25,2023-06-02,8,7840,B,50
26,2023-06-02,9,9679,B,51
27,2023-06-02,10,9163,B,45
28,2023-06-02,11,6226,C,47
29,2023-06-02,12,11216,C,51
30,2023-06-02,13,5236,A,65
31,2023-06-02,17,12217,C,63
32,2023-06-02,18,5100,B,57
33,2023-06-03,1,10930,A,77
34,2023-06-03,2,3695,B,58
35,2023-06-03,4,14501,A,57
36,2023-06-03,5,5310,B,58
37,2023-06-03,6,5204,B,63
38,2023-06-03,7,4211,B,60
39,2023-06-03,8,8340,A,66
40,2023-06-03,9,10070,B,45
41,2023-06-03,11,6947,B,60
42,2023-06-03,12,11934,A,54
43,2023-06-03,13,5241,A,66
44,2023-06-03,14,5857,C,30
45,2023-06-03,15,6280,C,30
46,2023-06-03,16,8624,B,30
47,2023-06-03,18,4841,C,62
48,2023-06-04,1,12193,C,63
49,2023-06-04,2,3597,C,58
50,2023-06-04,3,17113,B,43
51,2023-06-04,4,16079,B,51
52,2023-06-04,5,5727,B,75
53,2023-06-04,6,5057,B,47
54,2023-06-04,7,5587,B,50
55,2023-06-04,9,9798,A,52
56,2023-06-04,10,9878,A,78
57,2023-06-04,11,6042,A,76
58,2023-06-04,12,11218,A,76
59,2023-06-04,13,4679,C,44
60,2023-06-04,14,6787,A,75
61,2023-06-04,15,7475,C,42
62,2023-06-04,16,8773,A,67
63,2023-06-04,17,11048,C,31
64,2023-06-04,18,5489,C,70
65,2023-06-05,1,11030,B,57
66,2023-06-05,2,3658,B,59
67,2023-06-05,3,17476,B,47
68,2023-06-05,4,14093,C,57
69,2023-06-05,5,5315,A,73
70,2023-06-05,6,4439,B,57
71,2023-06-05,7,4398,B,56
72,2023-06-05,8,6628,A,58
73,2023-06-05,9,9090,A,59
74,2023-06-05,11,6436,C,57
75,2023-06-05,12,13485,C,59
76,2023-06-05,13,5022,C,39
77,2023-06-05,14,6550,A,74
78,2023-06-05,15,7939,B,54
79,2023-06-05,17,14774,C,42
80,2023-06-05,18,5940,B,68
81,2023-06-06,1,10550,A,72
82,2023-06-06,2,4237,A,48
83,2023-06-06,3,15734,B,45
84,2023-06-06,4,12761,A,71
85,2023-06-06,5,5199,A,62
86,2023-06-06,6,4798,A,71
87,2023-06-06,9,8564,B,40
88,2023-06-06,10,8718,B,70
89,2023-06-06,11,6525,B,59
90,2023-06-06,12,12748,B,57
91,2023-06-06,14,5597,B,59
92,2023-06-06,15,7934,A,45
93,2023-06-06,16,7710,B,50
94,2023-06-06,17,12146,B,70
95,2023-06-06,18,6205,B,45
96,2023-06-07,1,13289,C,66
97,2023-06-07,2,3538,B,49
98,2023-06-07,3,15710,C,56
99,2023-06-07,4,14600,C,44
100,2023-06-07,5,5596,B,54
101,2023-06-07,7,5262,C,60
102,2023-06-07,8,7978,A,79
103,2023-06-07,9,9607,A,53
104,2023-06-07,10,8824,C,67
105,2023-06-07,11,6082,B,59
106,2023-06-07,12,12489,A,58
107,2023-06-07,13,4962,B,64
108,2023-06-07,15,7654,B,48
109,2023-06-07,16,8245,B,90
110,2023-06-07,18,5382,A,58
111,2023-06-08,1,11679,A,85
112,2023-06-08,2,3611,C,49
113,2023-06-08,3,16671,A,54
114,2023-06-08,4,16445,A,53
115,2023-06-08,5,5740,B,57
116,2023-06-08,6,4571,B,49
117,2023-06-08,7,5069,B,57
118,2023-06-08,8,8003,B,55
119,2023-06-08,10,8881,B,56
120,2023-06-08,11,6512,A,50
121,2023-06-08,12,13176,C,89
122,2023-06-08,13,6144,A,64
123,2023-06-08,14,6490,B,43
124,2023-06-08,15,6609,A,75
125,2023-06-08,16,9976,B,67
126,2023-06-08,17,11554,A,60
127,2023-06-08,18,5958,B,47
128,2023-06-09,1,11958,B,70
129,2023-06-09,2,3853,B,39
130,2023-06-09,3,15754,A,58
131,2023-06-09,5,5077,C,68
132,2023-06-09,6,3980,B,75
133,2023-06-09,8,6805,A,90
134,2023-06-09,9,11026,B,72
135,2023-06-09,10,8420,B,50
136,2023-06-09,11,5838,A,46
137,2023-06-09,12,10052,C,58
138,2023-06-09,13,4795,A,77
139,2023-06-09,14,6206,B,44
140,2023-06-09,16,8302,A,57
141,2023-06-09,17,13645,C,58
142,2023-06-09,18,5915,A,49
143,2023-06-10,2,3868,B,62
144,2023-06-10,3,16238,C,47
145,2023-06-10,4,13685,B,58
146,2023-06-10,5,5338,B,58
147,2023-06-10,6,4900,A,65
148,2023-06-10,7,4236,B,59
149,2023-06-10,8,7077,A,66
150,2023-06-10,9,10971,A,54
151,2023-06-10,10,8660,B,53
152,2023-06-10,11,5923,B,46
153,2023-06-10,12,12554,A,48
154,2023-06-10,15,7654,C,50
155,2023-06-10,17,11890,B,48
156,2023-06-10,18,6177,B,37
157,2023-06-11,2,3891,A,69
158,2023-06-11,3,19066,B,70
159,2023-06-11,4,14563,B,50
160,2023-06-11,5,4910,C,51
161,2023-06-11,6,4934,A,70
162,2023-06-11,7,4586,B,60
163,2023-06-11,8,8064,A,55
164,2023-06-11,9,9365,C,43
165,2023-06-11,10,8785,B,56
166,2023-06-11,11,5486,B,62
167,2023-06-11,12,10733,B,50
168,2023-06-11,13,5492,B,36
169,2023-06-11,14,5376,B,56
170,2023-06-11,16,8999,B,63
171,2023-06-11,17,12185,A,52
172,2023-06-11,18,5470,C,60
173,2023-06-12,2,3736,C,68
174,2023-06-12,3,16001,A,68
175,2023-06-12,4,14032,C,37
176,2023-06-12,5,4292,A,73
177,2023-06-12,6,5045,A,31
178,2023-06-12,8,7015,B,63
179,2023-06-12,9,9094,A,55
180,2023-06-12,10,10138,A,79
181,2023-06-12,11,6248,A,67
182,2023-06-12,12,11983,B,67
183,2023-06-12,14,6713,A,71
184,2023-06-12,16,7367,C,37
185,2023-06-12,17,12987,B,62
186,2023-06-13,1,10799,C,41
187,2023-06-13,3,15856,A,56
188,2023-06-13,6,5282,A,62
189,2023-06-13,7,4595,B,45
190,2023-06-13,8,7291,C,34
191,2023-06-13,9,10417,B,51
192,2023-06-13,10,9659,B,42
193,2023-06-13,11,6290,B,68
194,2023-06-13,12,11691,B,41
195,2023-06-13,13,4784,B,60
196,2023-06-13,14,6543,B,53
197,2023-06-13,16,8563,A,52
198,2023-06-13,17,11603,B,63
199,2023-06-13,18,5660,A,63
200,2023-06-14,1,12251,A,55
201,2023-06-14,3,15478,B,52
202,2023-06-14,5,5625,B,51
203,2023-06-14,6,5246,A,68
204,2023-06-14,7,4984,A,60
205,2023-06-14,8,8412,B,70
206,2023-06-14,10,9650,B,51
207,2023-06-14,11,6708,A,53
208,2023-06-14,12,12625,B,63
209,2023-06-14,13,4824,B,61
210,2023-06-14,14,6309,B,62
211,2023-06-14,15,7775,B,62
212,2023-06-14,16,8453,C,58
213,2023-06-14,17,12502,A,84
214,2023-06-14,18,5172,C,74
215,2023-06-15,1,11322,B,69
216,2023-06-15,2,3228,B,67
217,2023-06-15,4,16709,A,61
218,2023-06-15,6,5094,A,78
219,2023-06-15,8,7441,A,89
220,2023-06-15,10,9245,B,47
221,2023-06-15,12,12209,C,49
222,2023-06-15,13,4927,A,67
223,2023-06-15,14,7065,A,70
224,2023-06-15,16,8576,A,61
225,2023-06-15,17,14106,B,52
226,2023-06-15,18,5302,B,64
227,2023-06-16,1,11616,C,58
228,2023-06-16,2,3640,A,66
229,2023-06-16,3,16087,B,54
230,2023-06-16,4,14314,A,61
231,2023-06-16,5,4527,B,70
232,2023-06-16,6,5468,C,40
233,2023-06-16,7,5282,C,63
234,2023-06-16,8,7036,C,33
235,2023-06-16,9,8405,B,30
236,2023-06-16,10,8176,C,71
237,2023-06-16,11,5990,A,62
