movimiento_id,fecha,cuarto_frio_id,cosecha_id,tipo_movimiento,cantidad
1,2023-06-01,3,1.0,entrada,10253
2,2023-06-01,4,18.0,entrada,5551
3,2023-06-01,4,17.0,entrada,14136
4,2023-06-01,1,16.0,entrada,8524
5,2023-06-01,4,15.0,entrada,7365
6,2023-06-01,3,14.0,entrada,6671
7,2023-06-01,3,12.0,entrada,12081
8,2023-06-01,3,11.0,entrada,6593
9,2023-06-01,2,10.0,entrada,8738
10,2023-06-01,3,13.0,entrada,4898
11,2023-06-01,1,8.0,entrada,7374
12,2023-06-01,1,7.0,entrada,4706
13,2023-06-01,4,6.0,entrada,5630
14,2023-06-01,3,5.0,entrada,4987
15,2023-06-01,3,4.0,entrada,15290
16,2023-06-01,1,3.0,entrada,15915
17,2023-06-01,4,2.0,entrada,3616
18,2023-06-01,3,9.0,entrada,8324
19,2023-06-02,2,27.0,entrada,9163
20,2023-06-02,3,,salida,69899
21,2023-06-02,1,32.0,entrada,5100
22,2023-06-02,1,31.0,entrada,12217
23,2023-06-02,4,30.0,entrada,5236
24,2023-06-02,2,28.0,entrada,6226
25,2023-06-02,2,26.0,entrada,9679
26,2023-06-02,4,29.0,entrada,11216
27,2023-06-02,4,24.0,entrada,4666
28,2023-06-02,2,23.0,entrada,5272
29,2023-06-02,1,22.0,entrada,14693
30,2023-06-02,2,21.0,entrada,16323
31,2023-06-02,3,20.0,entrada,3801
32,2023-06-02,4,19.0,entrada,11359
33,2023-06-02,4,25.0,entrada,7840
34,2023-06-03,4,,salida,8924
35,2023-06-03,4,47.0,entrada,4841
36,2023-06-03,4,46.0,entrada,8624
37,2023-06-03,4,45.0,entrada,6280
38,2023-06-03,4,44.0,entrada,5857
39,2023-06-03,2,43.0,entrada,5241
40,2023-06-03,3,41.0,entrada,6947
41,2023-06-03,3,42.0,entrada,11934
42,2023-06-03,1,39.0,entrada,8340
43,2023-06-03,1,38.0,entrada,4211
44,2023-06-03,4,37.0,entrada,5204
45,2023-06-03,1,36.0,entrada,5310
46,2023-06-03,2,35.0,entrada,14501
47,2023-06-03,2,34.0,entrada,3695
48,2023-06-03,4,33.0,entrada,10930
49,2023-06-03,3,40.0,entrada,10070
50,2023-06-04,3,62.0,entrada,8773
51,2023-06-04,1,63.0,entrada,11048
52,2023-06-04,1,64.0,entrada,5489
53,2023-06-04,3,,salida,17701
54,2023-06-04,4,,salida,119973
55,2023-06-04,1,,salida,19901
56,2023-06-04,4,,salida,134519
57,2023-06-04,3,61.0,entrada,7475
58,2023-06-04,1,60.0,entrada,6787
59,2023-06-04,4,,salida,11009
60,2023-06-04,1,58.0,entrada,11218
61,2023-06-04,4,57.0,entrada,6042
62,2023-06-04,4,56.0,entrada,9878
63,2023-06-04,3,55.0,entrada,9798
64,2023-06-04,4,54.0,entrada,5587
65,2023-06-04,2,49.0,entrada,3597
66,2023-06-04,2,50.0,entrada,17113
67,2023-06-04,3,48.0,entrada,12193
68,2023-06-04,3,51.0,entrada,16079
69,2023-06-04,2,52.0,entrada,5727
70,2023-06-04,3,53.0,entrada,5057
71,2023-06-04,3,59.0,entrada,4679
72,2023-06-05,4,80.0,entrada,5940
73,2023-06-05,3,,salida,11865
74,2023-06-05,3,79.0,entrada,14774
75,2023-06-05,2,,salida,69874
76,2023-06-05,4,12.0,merma,1030
77,2023-06-05,4,78.0,entrada,7939
78,2023-06-05,4,,salida,131331
79,2023-06-05,2,76.0,entrada,5022
