venta_id,fecha,cliente_id,variedad_id,empaque,tallos,precio_tallo
1,2023-06-01,12,3,HB,11009,0.27
2,2023-06-01,27,5,FB,8924,0.318
3,2023-06-01,22,7,FB,131331,0.152
4,2023-06-01,19,3,QB,134519,0.308
5,2023-06-01,27,7,FB,69899,0.144
6,2023-06-01,4,2,QB,9186,0.342
7,2023-06-02,22,8,HB,16261,0.183
8,2023-06-02,15,2,HB,17701,0.325
9,2023-06-02,28,7,FB,69874,0.141
10,2023-06-02,17,5,QB,123510,0.318
11,2023-06-02,6,5,EB,11865,0.339
12,2023-06-03,10,2,QB,5053,0.355
13,2023-06-03,13,4,QB,19901,0.342
14,2023-06-03,19,4,FB,9346,0.36
15,2023-06-03,4,7,HB,119973,0.148
16,2023-06-03,20,2,HB,46217,0.326
17,2023-06-04,26,5,HB,48331,0.3
18,2023-06-04,10,3,FB,39637,0.305
19,2023-06-04,4,8,HB,91060,0.176
20,2023-06-05,25,7,QB,8679,0.111
21,2023-06-05,28,5,QB,78203,0.319
22,2023-06-05,3,3,QB,5374,0.375
23,2023-06-06,18,4,EB,7760,0.321
24,2023-06-06,9,5,HB,1556,0.317
25,2023-06-07,5,8,HB,35488,0.177
26,2023-06-08,11,7,FB,46082,0.163
27,2023-06-08,28,5,QB,36940,0.301
28,2023-06-09,18,4,EB,27424,0.363
29,2023-06-09,13,4,HB,8875,0.322
30,2023-06-10,23,7,QB,27827,0.151
31,2023-06-10,5,3,HB,63582,0.348
32,2023-06-10,6,5,EB,26452,0.361
33,2023-06-10,26,7,HB,51655,0.134
34,2023-06-11,21,7,QB,193300,0.133
35,2023-06-11,13,7,HB,46101,0.135
36,2023-06-11,25,4,FB,23163,0.328
37,2023-06-11,24,8,FB,42088,0.192
38,2023-06-13,1,4,EB,6951,0.327
39,2023-06-13,19,4,QB,24984,0.29
40,2023-06-13,28,2,HB,395,0.301
41,2023-06-14,10,4,QB,77674,0.321
42,2023-06-15,5,5,HB,403,0.308
43,2023-06-15,9,5,HB,22299,0.326
44,2023-06-15,2,7,QB,16291,0.141
45,2023-06-15,15,8,QB,2262,0.211
46,2023-06-15,14,3,FB,4597,0.302
47,2023-06-16,16,7,HB,92865,0.116
48,2023-06-16,11,5,HB,4460,0.325
49,2023-06-16,4,4,EB,3258,0.375
50,2023-06-16,19,4,HB,27137,0.317
51,2023-06-17,10,2,EB,5914,0.356
52,2023-06-17,24,7,QB,7564,0.147
53,2023-06-17,8,3,EB,148683,0.327
54,2023-06-17,18,5,EB,116469,0.313
